@RELATION dataset-10-coral

@ATTRIBUTE seq numeric
@ATTRIBUTE rssi numeric
@ATTRIBUTE received {True,False}
@ATTRIBUTE prr numeric
@ATTRIBUTE lqi numeric
@ATTRIBUTE link_num {24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,35,34,33,32}
@ATTRIBUTE experiment_num {0}
@ATTRIBUTE class {perfect,bad,avg,terrible,good}

@DATA
5,38.0,False,0.0,153.097377485,0,0,terrible
6,38.0,False,0.0,148.628485182,0,0,terrible
7,38.0,False,0.0,151.101666277,0,0,terrible
8,38.0,False,0.0,152.374279702,0,0,terrible
9,38.0,False,0.0,149.146730773,0,0,terrible
10,38.0,False,0.0,151.157331321,0,0,terrible
11,38.0,False,0.0,151.1197478,0,0,terrible
12,38.0,False,0.0,145.508885837,0,0,terrible
13,38.0,False,0.0,149.704676434,0,0,terrible
14,38.0,False,0.0,155.260401205,0,0,terrible
15,38.0,False,0.0,151.984208534,0,0,terrible
16,38.0,True,0.2,155.0,0,0,bad
17,38.0,True,0.4,158.0,0,0,avg
18,38.0,False,0.4,158.0,0,0,avg
19,38.0,False,0.4,158.0,0,0,avg
20,38.0,True,0.6,158.0,0,0,avg
21,38.0,True,0.6,159.0,0,0,avg
22,38.0,False,0.4,159.0,0,0,avg
23,38.0,False,0.4,159.0,0,0,avg
24,38.0,False,0.4,159.0,0,0,avg
25,38.0,False,0.2,159.0,0,0,bad
26,38.0,False,0.0,159.0,0,0,terrible
27,38.0,True,0.2,159.0,0,0,bad
28,38.0,True,0.4,156.0,0,0,avg
29,38.0,False,0.4,157.431211992,0,0,avg
30,38.0,True,0.6,157.0,0,0,avg
31,38.0,False,0.6,147.768783221,0,0,avg
32,38.0,False,0.4,162.842336722,0,0,avg
33,38.0,False,0.2,149.279110643,0,0,bad
34,38.0,False,0.2,157.215143875,0,0,bad
35,38.0,False,0.0,156.406842757,0,0,terrible
36,38.0,False,0.0,146.071294046,0,0,terrible
37,38.0,False,0.0,155.681916107,0,0,terrible
38,38.0,False,0.0,151.634567272,0,0,terrible
39,38.0,False,0.0,151.451332913,0,0,terrible
40,38.0,False,0.0,152.917980031,0,0,terrible
41,38.0,False,0.0,145.599769682,0,0,terrible
42,38.0,True,0.2,150.0,0,0,bad
43,38.0,False,0.2,157.061014547,0,0,bad
44,38.0,False,0.2,158.187542283,0,0,bad
45,38.0,False,0.2,160.324867691,0,0,bad
46,38.0,True,0.4,160.0,0,0,avg
47,38.0,False,0.2,159.525509818,0,0,bad
48,38.0,False,0.2,159.159622247,0,0,bad
49,38.0,False,0.2,160.253331702,0,0,bad
50,38.0,False,0.2,159.153766565,0,0,bad
51,38.0,False,0.0,159.341589732,0,0,terrible
52,38.0,False,0.0,159.432169736,0,0,terrible
53,38.0,False,0.0,159.40108415,0,0,terrible
54,38.0,True,0.2,159.0,0,0,bad
55,38.0,False,0.2,158.524871572,0,0,bad
56,38.0,True,0.4,156.0,0,0,avg
5,46.0,True,0.4,154.0,1,0,avg
6,45.2602250173,False,0.4,158.996193356,1,0,avg
7,46.2729634041,False,0.4,157.909631348,1,0,avg
8,45.0118289395,False,0.4,155.477954335,1,0,avg
9,45.526531432,False,0.2,155.029663657,1,0,bad
10,45.6043477713,False,0.0,159.463240869,1,0,terrible
11,44.6945817144,False,0.0,158.225966144,1,0,terrible
12,45.6185397079,False,0.0,153.654595103,1,0,terrible
13,45.3870971039,False,0.0,157.781423655,1,0,terrible
14,45.8683924479,False,0.0,155.741867322,1,0,terrible
15,45.3902466986,False,0.0,154.010385676,1,0,terrible
16,45.0,True,0.2,158.0,1,0,bad
17,45.1716022306,False,0.2,156.270332757,1,0,bad
18,43.0,True,0.4,153.0,1,0,avg
19,45.144003646,False,0.4,173.303302692,1,0,avg
20,45.0,True,0.6,204.0,1,0,avg
21,45.0,True,0.6,182.0,1,0,avg
22,44.2105074516,False,0.6,155.477425764,1,0,avg
23,43.1972488397,False,0.4,167.636903861,1,0,avg
24,44.271946986,False,0.4,164.939757937,1,0,avg
25,44.636310513,False,0.2,188.579144552,1,0,bad
26,44.0,True,0.2,163.0,1,0,bad
27,44.6590241029,False,0.2,158.293542523,1,0,bad
28,44.0309840823,False,0.2,161.551005795,1,0,bad
29,44.9086122616,False,0.2,159.805173679,1,0,bad
30,44.1195699282,False,0.2,157.140658828,1,0,bad
